Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2019,FYTD,JUN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,165.0
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,115.0
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,23.0
2020,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,25.0
2021,FYTD,NOV,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2.0
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,2.0
2020,FYTD,APR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,79.0
2019,FYTD,SEP,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,26.0
2021,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,130.0
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,23.0
2021,FYTD,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,122.0
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,18.0
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1118.0
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,15230.0
2021,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,6601.0
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1.0
2021,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,761.0
2021,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,82.0
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,198.0
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,5.0
2020,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,24.0
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0.0
2020,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,18.0
2020,FYTD,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,84.0
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,2466.0
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1547.0
2019,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,233.0
2020,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,324.0
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,295.0
2019,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,261.0
2019,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,612.0
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,105.0
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,6.0
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1886.0
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,57.0
2019,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3039.0
